id,title,job_role,sector,qualification,skills,interests,work_mode,expected_salary,city,state,lat,lon,duration_months,additional_support,created_at,updated_at
int_hyderabad_00011,Product Intern - Edtech,product intern,edtech,BBA,"user research, wireframing, analytics, product strategy, agile","hospitality, ai, research, finance",onsite,14457,Hyderabad,,17.385,78.4867,5,"mentor, certificate",2025-06-02T09:23:40.626175+00:00,2025-06-07T09:23:40.626175+00:00
int_noida_00012,EdTech Product Intern - Edtech,edtech product intern,edtech,BBA,"jira, research, ux, product management, education","ai, operations, tech, media",onsite,24720,Noida,,28.5355,77.391,3,"mentor, certificate",2025-06-14T14:51:43.626175+00:00,2025-06-24T14:51:43.626175+00:00
int_kolkata_00013,Ngo Program Intern,program intern,NGO,MCA,"program management, coordination, monitoring, evaluation, reporting","strategy, tech, banking",remote,20840,Kolkata,,22.5726,88.3639,3,"mentor, stipend, certificate",2025-09-19T10:10:03.626175+00:00,2025-09-25T10:10:03.626175+00:00
int_thiruvananthapuram_00014,Hospitality Customer Service Intern,customer service intern,hospitality,MBA,"customer service, communication, problem solving, crm, patience","healthcare, education",hybrid,12816,Thiruvananthapuram,,8.5241,76.9366,5,"mentor, certificate",2025-09-04T12:31:04.626175+00:00,2025-09-11T12:31:04.626175+00:00
int_bangalore_00015,Merchandising Intern at E-Commerce Company,merchandising intern,e-commerce,B.Sc,"catalog management, excel, negotiation, product management, analytics","consulting, retail, research, automotive",onsite,25379,Bangalore,,12.9716,77.5946,6,stipend,2025-05-16T15:10:28.626175+00:00,2025-05-22T15:10:28.626175+00:00
int_kolkata_00016,Ngo Program Intern,program intern,NGO,B.Tech,"program management, coordination, monitoring, evaluation, reporting","banking, education, social",remote,18169,Kolkata,,22.5726,88.3639,3,"mentor, certificate",2025-08-18T04:04:52.626175+00:00,2025-08-25T04:04:52.626175+00:00
int_mumbai_00017,Internship - Operations Intern (Fintech),operations intern,fintech,BBA,"excel, reporting, coordination, process improvement, communication","education, data",onsite,29870,Mumbai,,19.076,72.8777,3,"mentor, stipend, certificate",2025-06-25T14:52:29.626175+00:00,2025-07-05T14:52:29.626175+00:00
int_bangalore_00018,Operations Intern at Govtech Company,operations intern,govtech,M.Tech,"excel, reporting, coordination, process improvement, communication","healthcare, fmcg, analytics, hospitality",onsite,33927,Bangalore,,12.9716,77.5946,6,"mentor, stipend, certificate",2025-08-12T07:22:55.626175+00:00,2025-08-20T07:22:55.626175+00:00
int_mumbai_00019,Healthtech AI Research Intern,ai research intern,healthtech,BBA,"python, deep learning, nlp, computer vision, research","fmcg, consulting, finance, operations",hybrid,36597,Mumbai,,19.076,72.8777,4,"mentor, certificate",2025-04-21T18:50:27.626175+00:00,2025-05-03T18:50:27.626175+00:00
int_ahmedabad_00020,Internship - Data Analyst Intern (Healthtech),data analyst intern,healthtech,B.Tech,"python, pandas, sql, excel, power bi","consulting, ai, automotive",hybrid,15285,Ahmedabad,,23.0225,72.5714,4,"mentor, stipend, certificate",2025-06-06T03:00:05.627175+00:00,2025-06-19T03:00:05.627175+00:00
int_jaipur_00021,Product Intern - Edtech,product intern,edtech,M.Tech,"user research, wireframing, analytics, product strategy, agile","hospitality, retail, social",remote,14253,Jaipur,,26.9124,75.7873,2,"mentor, stipend, certificate",2025-06-11T02:51:06.627175+00:00,2025-06-25T02:51:06.627175+00:00
int_bangalore_00022,Content Writing Intern - Media,content writing intern,media,B.Tech,"writing, blogging, seo, research, grammar","finance, operations, education, hospitality",onsite,19873,Bangalore,,12.9716,77.5946,6,"mentor, certificate",2025-08-09T16:45:06.627175+00:00,2025-08-13T16:45:06.627175+00:00
int_jaipur_00023,Public Policy Intern Opportunity in Govtech,public policy intern,govtech,M.Sc,"policy research, data analysis, report writing, government policies, research","retail, analytics, tech, fmcg",onsite,11091,Jaipur,,26.9124,75.7873,4,stipend,2025-05-10T12:08:31.627175+00:00,2025-05-23T12:08:31.627175+00:00
int_jaipur_00024,Internship - Data Analyst Intern (Fintech),data analyst intern,fintech,B.Sc,"python, pandas, sql, excel, power bi","tech, finance",onsite,22034,Jaipur,,26.9124,75.7873,2,stipend,2025-04-15T06:04:47.627175+00:00,2025-04-17T06:04:47.627175+00:00
int_bangalore_00025,Content Intern - Media,content intern,media,B.Tech,"content writing, seo, editing, research, grammar","retail, marketing",hybrid,23018,Bangalore,,12.9716,77.5946,4,"mentor, stipend, certificate",2025-07-08T13:35:23.627175+00:00,2025-07-08T13:35:23.627175+00:00
int_bangalore_00026,Learning Ops Intern at Edtech Company,learning ops intern,edtech,B.E.,"operations, communication, scheduling, coordination, education","banking, education, media",onsite,36273,Bangalore,,12.9716,77.5946,6,stipend,2025-04-16T09:20:34.627175+00:00,2025-04-17T09:20:34.627175+00:00
int_hyderabad_00027,AI Research Intern Opportunity in Healthtech,ai research intern,healthtech,M.Sc,"python, deep learning, nlp, computer vision, research","analytics, hospitality, research",onsite,22320,Hyderabad,,17.385,78.4867,3,"mentor, stipend, certificate",2025-04-12T17:10:43.627175+00:00,2025-04-12T17:10:43.627175+00:00
int_delhi_00028,Govtech Business Analyst Intern,business analyst intern,govtech,MBA,"sql, stakeholder management, powerbi, requirements gathering, documentation","strategy, fmcg, banking",hybrid,13924,Delhi,,28.7041,77.1025,2,"mentor, stipend, certificate",2025-06-29T05:33:28.627175+00:00,2025-06-29T05:33:28.627175+00:00
int_visakhapatnam_00029,Data Analyst Intern - Agritech,data analyst intern,agritech,BA,"python, pandas, sql, excel, power bi","analytics, consulting",hybrid,20908,Visakhapatnam,,17.6868,83.2185,2,stipend,2025-08-20T15:17:35.627175+00:00,2025-08-30T15:17:35.627175+00:00
int_gurugram_00030,Internship - Program Intern (Ngo),program intern,NGO,B.Com,"program management, coordination, monitoring, evaluation, reporting","ai, content, research, hospitality",hybrid,25762,Gurugram,,28.4595,77.0266,5,"mentor, certificate",2025-05-15T03:56:31.627175+00:00,2025-05-25T03:56:31.627175+00:00
int_bhopal_00031,E-commerce Ops Intern Opportunity in E-Commerce,e-commerce ops intern,e-commerce,PhD,"excel, marketplace ops, analytics, inventory management, operations","strategy, banking",onsite,16019,Bhopal,,23.2599,77.4126,3,"mentor, stipend, certificate",2025-03-30T21:35:11.627175+00:00,2025-04-13T21:35:11.627175+00:00
int_delhi_00032,Operations Intern - Ngo,operations intern,NGO,BBA,"excel, reporting, coordination, process improvement, communication","ai, banking",remote,23859,Delhi,,28.7041,77.1025,2,"mentor, certificate",2025-07-23T10:37:53.627175+00:00,2025-08-02T10:37:53.627175+00:00
int_gurugram_00033,Research Intern at Agritech Company,research intern,agritech,B.Sc,"python, literature review, statistics, data collection, analysis","analytics, content, data, strategy",onsite,24572,Gurugram,,28.4595,77.0266,6,"mentor, stipend, certificate",2025-09-19T04:26:36.627175+00:00,2025-09-23T04:26:36.627175+00:00
int_bhopal_00034,Internship - ML Intern (Healthtech),ml intern,healthtech,BBA,"python, scikit-learn, pandas, numpy, tensorflow","strategy, education, hospitality",onsite,10842,Bhopal,,23.2599,77.4126,5,"mentor, stipend, certificate",2025-05-11T22:29:47.627175+00:00,2025-05-26T22:29:47.627175+00:00
int_bangalore_00035,Process Intern Opportunity in Manufacturing,process intern,manufacturing,BBA,"process improvement, lean, data analysis, documentation, optimization","ai, media",remote,28119,Bangalore,,12.9716,77.5946,2,mentor,2025-06-03T16:42:57.627175+00:00,2025-06-11T16:42:57.627175+00:00
int_kolkata_00036,Internship - Operations Intern (Ngo),operations intern,NGO,B.E.,"excel, reporting, coordination, process improvement, communication","retail, data, automotive",hybrid,19615,Kolkata,,22.5726,88.3639,5,"mentor, certificate",2025-03-28T16:13:03.627175+00:00,2025-04-02T16:13:03.627175+00:00
int_bhopal_00037,Edtech Content Intern,content intern,edtech,B.E.,"content writing, seo, editing, research, grammar","ai, tech, education, banking",hybrid,11161,Bhopal,,23.2599,77.4126,2,"mentor, certificate",2025-09-17T22:08:10.627175+00:00,2025-09-24T22:08:10.627175+00:00
int_bangalore_00038,Research Intern - Govtech,research intern,govtech,B.Tech,"python, literature review, statistics, data collection, analysis","consulting, marketing",hybrid,33800,Bangalore,,12.9716,77.5946,5,stipend,2025-08-20T19:15:57.627175+00:00,2025-08-23T19:15:57.627175+00:00
int_mumbai_00039,Internship - Marketing Intern (Hospitality),marketing intern,hospitality,MBA,"communication, market research, social media marketing, ms excel, writing","marketing, operations, fmcg, education",onsite,22851,Mumbai,,19.076,72.8777,4,mentor,2025-06-01T05:03:19.628174+00:00,2025-06-15T05:03:19.628174+00:00
int_mumbai_00040,Bioinformatics Intern - Healthtech,bioinformatics intern,healthtech,B.Com,"python, r, genomics, biostatistics, data analysis","retail, finance, education, marketing",hybrid,33329,Mumbai,,19.076,72.8777,5,"mentor, stipend, certificate",2025-08-19T04:44:24.628174+00:00,2025-08-22T04:44:24.628174+00:00
int_ahmedabad_00041,Curriculum Intern at Edtech Company,curriculum intern,edtech,MBA,"content development, pedagogy, assessment, education technology, python","research, ai, banking, analytics",remote,28152,Ahmedabad,,23.0225,72.5714,3,"mentor, certificate",2025-06-02T08:14:54.628174+00:00,2025-06-02T08:14:54.628174+00:00
int_kolkata_00042,Manufacturing Industrial Intern,industrial intern,manufacturing,B.Com,"industrial engineering, process design, optimization, data analysis, project management","fmcg, automotive, banking, tech",onsite,17680,Kolkata,,22.5726,88.3639,4,stipend,2025-04-20T18:40:30.628174+00:00,2025-05-03T18:40:30.628174+00:00
int_delhi_00043,Ngo Social Work Intern,social work intern,NGO,B.E.,"community development, counseling, social research, case management, communication","fmcg, data",onsite,29869,Delhi,,28.7041,77.1025,2,mentor,2025-08-23T16:11:49.628174+00:00,2025-08-26T16:11:49.628174+00:00
int_indore_00044,E-commerce Ops Intern - E-Commerce,e-commerce ops intern,e-commerce,MBA,"excel, marketplace ops, analytics, inventory management, operations","fmcg, banking, consulting",hybrid,14922,Indore,,22.7196,75.8577,3,mentor,2025-08-13T20:12:19.628174+00:00,2025-08-15T20:12:19.628174+00:00
int_thiruvananthapuram_00045,Supply Chain Intern at Manufacturing Company,supply chain intern,manufacturing,B.Tech,"excel, inventory, logistics, procurement, operations","analytics, consulting, finance",hybrid,15019,Thiruvananthapuram,,8.5241,76.9366,4,stipend,2025-09-19T03:27:09.628174+00:00,2025-09-19T03:27:09.628174+00:00
int_coimbatore_00046,Supply Chain Intern at Agritech Company,supply chain intern,agritech,MBA,"excel, inventory, logistics, procurement, operations","tech, retail",onsite,11363,Coimbatore,,11.0168,76.9558,6,"mentor, certificate",2025-04-22T19:21:57.629175+00:00,2025-04-23T19:21:57.629175+00:00
int_bangalore_00047,Media Social Media Intern,social media intern,media,M.Sc,"social media marketing, content creation, analytics, community management, sql","research, healthcare",onsite,30616,Bangalore,,12.9716,77.5946,4,"mentor, stipend, certificate",2025-06-27T07:29:29.629175+00:00,2025-07-05T07:29:29.629175+00:00
int_indore_00048,Quality Intern Opportunity in Manufacturing,quality intern,manufacturing,B.Tech,"quality control, six sigma, process improvement, data analysis, documentation","ai, automotive",onsite,19205,Indore,,22.7196,75.8577,5,"mentor, stipend, certificate",2025-09-09T09:51:58.629175+00:00,2025-09-24T09:51:58.629175+00:00
int_bangalore_00049,Social Media Intern at Media Company,social media intern,media,M.Sc,"social media marketing, content creation, analytics, community management, presentation","finance, healthcare",hybrid,27513,Bangalore,,12.9716,77.5946,2,stipend,2025-08-13T19:22:57.629175+00:00,2025-08-16T19:22:57.629175+00:00
int_bangalore_00050,Data Analyst Intern at Agritech Company,data analyst intern,agritech,MBA,"python, pandas, sql, excel, power bi","ai, content, research, operations",hybrid,41387,Bangalore,,12.9716,77.5946,2,"mentor, stipend, certificate",2025-04-12T15:45:22.629175+00:00,2025-04-27T15:45:22.629175+00:00
int_kolkata_00051,Internship - AI Research Intern (Healthtech),ai research intern,healthtech,M.Sc,"python, deep learning, nlp, computer vision, research","strategy, data, marketing, fmcg",onsite,20584,Kolkata,,22.5726,88.3639,2,stipend,2025-06-24T16:50:31.629175+00:00,2025-06-28T16:50:31.629175+00:00
int_pune_00052,Operations Intern at Agritech Company,operations intern,agritech,MBA,"excel, reporting, coordination, process improvement, communication","hospitality, finance, education, tech",remote,24721,Pune,,18.5204,73.8567,3,mentor,2025-07-21T11:49:02.629175+00:00,2025-07-26T11:49:02.629175+00:00
int_bangalore_00053,Internship - Data Analyst Intern (E-Commerce),data analyst intern,e-commerce,BBA,"python, pandas, sql, excel, power bi","automotive, social",remote,28441,Bangalore,,12.9716,77.5946,2,stipend,2025-08-06T01:28:11.629175+00:00,2025-08-07T01:28:11.629175+00:00
int_lucknow_00054,Internship - Industrial Intern (Manufacturing),industrial intern,manufacturing,BA,"industrial engineering, process design, optimization, data analysis, project management","consulting, operations, research",hybrid,13216,Lucknow,,26.8467,80.9462,3,stipend,2025-04-05T23:58:44.629175+00:00,2025-04-20T23:58:44.629175+00:00
int_mumbai_00055,Product Intern - Edtech,product intern,edtech,BBA,"user research, wireframing, analytics, product strategy, agile","research, marketing",onsite,23679,Mumbai,,19.076,72.8777,3,stipend,2025-07-22T10:14:59.629175+00:00,2025-08-06T10:14:59.629175+00:00
int_thiruvananthapuram_00056,Healthcare Data Intern - Healthtech,healthcare data intern,healthtech,B.E.,"python, sql, biostatistics, healthcare analytics, data privacy","marketing, strategy",hybrid,16218,Thiruvananthapuram,,8.5241,76.9366,3,"mentor, certificate",2025-09-13T16:34:31.629175+00:00,2025-09-25T16:34:31.629175+00:00
int_thiruvananthapuram_00057,Internship - Business Analyst Intern (Govtech),business analyst intern,govtech,MBA,"sql, stakeholder management, powerbi, requirements gathering, documentation","analytics, media, education",hybrid,9777,Thiruvananthapuram,,8.5241,76.9366,5,"mentor, stipend, certificate",2025-07-10T02:45:03.629175+00:00,2025-07-19T02:45:03.629175+00:00
int_noida_00058,Data Analyst Intern at Fintech Company,data analyst intern,fintech,B.E.,"python, pandas, sql, excel, power bi","tech, automotive, healthcare, media",onsite,23434,Noida,,28.5355,77.391,3,"mentor, stipend, certificate",2025-07-25T12:56:46.629175+00:00,2025-08-02T12:56:46.629175+00:00
int_bhopal_00059,E-Commerce Marketing Intern,marketing intern,e-commerce,MBA,"communication, market research, social media marketing, ms excel, writing","strategy, social, education",onsite,14726,Bhopal,,23.2599,77.4126,4,"mentor, certificate",2025-04-28T09:50:13.629175+00:00,2025-05-08T09:50:13.629175+00:00
int_indore_00060,Customer Service Intern at Hospitality Company,customer service intern,hospitality,M.Sc,"customer service, communication, problem solving, crm, patience","finance, education",onsite,12355,Indore,,22.7196,75.8577,4,stipend,2025-04-28T15:43:07.629175+00:00,2025-05-07T15:43:07.629175+00:00
int_pune_00061,Ngo Research Intern,research intern,NGO,BA,"python, literature review, statistics, data collection, analysis","research, consulting",hybrid,14401,Pune,,18.5204,73.8567,4,mentor,2025-05-27T17:24:29.629175+00:00,2025-06-06T17:24:29.629175+00:00
int_pune_00062,Process Intern Opportunity in Manufacturing,process intern,manufacturing,M.Tech,"process improvement, lean, data analysis, documentation, optimization","ai, social, research",onsite,23416,Pune,,18.5204,73.8567,2,stipend,2025-06-18T17:25:51.629175+00:00,2025-06-29T17:25:51.629175+00:00
int_mumbai_00063,Internship - Operations Intern (Agritech),operations intern,agritech,M.Tech,"excel, reporting, coordination, process improvement, communication","content, hospitality, tech, strategy",hybrid,26333,Mumbai,,19.076,72.8777,2,stipend,2025-06-09T18:43:35.629175+00:00,2025-06-24T18:43:35.629175+00:00
int_delhi_00064,Internship - Operations Intern (Hospitality),operations intern,hospitality,BBA,"excel, reporting, coordination, process improvement, communication","operations, fmcg, data, finance",onsite,28154,Delhi,,28.7041,77.1025,5,"mentor, stipend, certificate",2025-06-22T08:12:49.630163+00:00,2025-07-01T08:12:49.630163+00:00
int_visakhapatnam_00065,Social Work Intern Opportunity in Ngo,social work intern,NGO,B.E.,"community development, counseling, social research, case management, communication","content, media, operations, data",onsite,8931,Visakhapatnam,,17.6868,83.2185,6,"mentor, certificate",2025-07-01T01:44:05.630163+00:00,2025-07-04T01:44:05.630163+00:00
int_delhi_00066,Data Analyst Intern Opportunity in E-Commerce,data analyst intern,e-commerce,MBA,"python, pandas, sql, excel, power bi","analytics, consulting",onsite,24934,Delhi,,28.7041,77.1025,4,"mentor, stipend, certificate",2025-05-11T00:24:10.630163+00:00,2025-05-11T00:24:10.630163+00:00
int_mumbai_00067,Operations Intern Opportunity in Fintech,operations intern,fintech,B.Tech,"excel, reporting, coordination, process improvement, communication","research, retail, healthcare, operations",onsite,28743,Mumbai,,19.076,72.8777,4,"mentor, stipend, certificate",2025-07-15T13:46:50.630163+00:00,2025-07-17T13:46:50.630163+00:00
int_mumbai_00068,Internship - Operations Intern (Hospitality),operations intern,hospitality,M.Tech,"excel, reporting, coordination, process improvement, communication","research, ai, hospitality",onsite,31060,Mumbai,,19.076,72.8777,6,stipend,2025-07-17T15:26:50.630163+00:00,2025-07-31T15:26:50.630163+00:00
int_gurugram_00069,Internship - Content Intern (Media),content intern,media,MCA,"content writing, seo, editing, research, grammar","data, consulting",onsite,33388,Gurugram,,28.4595,77.0266,4,"mentor, stipend, certificate",2025-08-14T21:17:44.630163+00:00,2025-08-17T21:17:44.630163+00:00
int_gurugram_00070,Research Intern - Agritech,research intern,agritech,B.Sc,"python, literature review, statistics, data collection, analysis","hospitality, media, education, consulting",remote,29071,Gurugram,,28.4595,77.0266,3,mentor,2025-08-06T17:01:15.630163+00:00,2025-08-17T17:01:15.630163+00:00
int_delhi_00071,Public Policy Intern at Govtech Company,public policy intern,govtech,B.Tech,"policy research, data analysis, report writing, government policies, research","data, finance",remote,36674,Delhi,,28.7041,77.1025,3,"mentor, certificate",2025-09-05T08:05:29.630163+00:00,2025-09-07T08:05:29.630163+00:00
int_noida_00072,Ngo Program Intern,program intern,NGO,B.Sc,"program management, coordination, monitoring, evaluation, reporting","consulting, content, analytics",onsite,15160,Noida,,28.5355,77.391,5,stipend,2025-04-10T06:26:26.630163+00:00,2025-04-22T06:26:26.630163+00:00
int_pune_00073,Revenue Management Intern at Hospitality Company,revenue management intern,hospitality,PhD,"excel, pricing, statistics, revenue optimization, data analysis","data, hospitality, automotive",hybrid,20553,Pune,,18.5204,73.8567,2,"mentor, certificate",2025-06-03T00:16:42.630163+00:00,2025-06-16T00:16:42.630163+00:00
int_mumbai_00074,Internship - Data Analyst Intern (Govtech),data analyst intern,govtech,B.Sc,"python, pandas, sql, excel, power bi","media, healthcare, fmcg",onsite,29965,Mumbai,,19.076,72.8777,4,mentor,2025-08-15T18:13:51.630163+00:00,2025-08-29T18:13:51.630163+00:00
int_bangalore_00075,Research Intern at Agritech Company,research intern,agritech,B.Tech,"python, literature review, statistics, data collection, analysis","tech, retail, analytics",hybrid,37394,Bangalore,,12.9716,77.5946,4,"mentor, stipend, certificate",2025-08-26T00:28:49.630163+00:00,2025-09-01T00:28:49.630163+00:00
int_bangalore_00076,Agritech Operations Intern,operations intern,agritech,B.Com,"excel, reporting, coordination, process improvement, communication","data, operations, social, hospitality",onsite,23958,Bangalore,,12.9716,77.5946,2,"mentor, stipend, certificate",2025-06-21T04:59:16.630163+00:00,2025-06-27T04:59:16.630163+00:00
int_chennai_00077,Bioinformatics Intern Opportunity in Healthtech,bioinformatics intern,healthtech,B.Tech,"python, r, genomics, biostatistics, data analysis","consulting, content",hybrid,28217,Chennai,,13.0827,80.2707,3,stipend,2025-07-14T09:09:16.630163+00:00,2025-07-25T09:09:16.630163+00:00
int_ahmedabad_00078,Operations Intern Opportunity in Ngo,operations intern,NGO,MBA,"excel, reporting, coordination, process improvement, communication","finance, automotive",onsite,19679,Ahmedabad,,23.0225,72.5714,4,stipend,2025-05-10T19:57:23.630163+00:00,2025-05-22T19:57:23.630163+00:00
int_coimbatore_00079,Research Intern - Ngo,research intern,NGO,MCA,"python, literature review, statistics, data collection, analysis","ai, hospitality, marketing, tech",hybrid,10006,Coimbatore,,11.0168,76.9558,4,"mentor, stipend, certificate",2025-05-19T11:03:57.630163+00:00,2025-05-20T11:03:57.630163+00:00
int_gurugram_00080,AI Research Intern Opportunity in Healthtech,ai research intern,healthtech,BA,"python, deep learning, nlp, computer vision, research","tech, consulting, media, retail",onsite,43150,Gurugram,,28.4595,77.0266,2,"mentor, certificate",2025-04-11T10:31:51.630163+00:00,2025-04-13T10:31:51.630163+00:00
int_kolkata_00081,Hospitality Data Analyst Intern,data analyst intern,hospitality,B.Tech,"python, pandas, sql, excel, power bi","healthcare, finance, education",hybrid,12072,Kolkata,,22.5726,88.3639,2,"mentor, certificate",2025-04-09T02:34:29.630163+00:00,2025-04-14T02:34:29.630163+00:00
int_bangalore_00082,E-Commerce Operations Intern,operations intern,e-commerce,BA,"excel, reporting, coordination, process improvement, communication","automotive, retail, media, social",onsite,26003,Bangalore,,12.9716,77.5946,2,stipend,2025-07-30T17:17:57.630163+00:00,2025-08-05T17:17:57.630163+00:00
int_hyderabad_00083,Media Video Editing Intern,video editing intern,media,B.Com,"premiere pro, after effects, storytelling, video production, editing","research, strategy, hospitality, finance",hybrid,16648,Hyderabad,,17.385,78.4867,3,"mentor, stipend, certificate",2025-04-02T18:04:43.630163+00:00,2025-04-06T18:04:43.630163+00:00
int_ahmedabad_00084,Curriculum Intern - Edtech,curriculum intern,edtech,MBA,"content development, pedagogy, assessment, education technology, excel","healthcare, hospitality",onsite,18998,Ahmedabad,,23.0225,72.5714,3,stipend,2025-04-07T08:19:23.631174+00:00,2025-04-14T08:19:23.631174+00:00
int_bangalore_00085,Operations Intern - Fintech,operations intern,fintech,B.Tech,"excel, reporting, coordination, process improvement, communication","consulting, ai",onsite,30802,Bangalore,,12.9716,77.5946,4,stipend,2025-05-14T05:17:49.631174+00:00,2025-05-23T05:17:49.631174+00:00
int_delhi_00086,E-Commerce Merchandising Intern,merchandising intern,e-commerce,MBA,"catalog management, excel, negotiation, product management, analytics","retail, consulting, finance, strategy",onsite,25702,Delhi,,28.7041,77.1025,4,"mentor, stipend, certificate",2025-05-15T10:36:58.631174+00:00,2025-05-22T10:36:58.631174+00:00
int_mumbai_00087,Research Intern at Agritech Company,research intern,agritech,B.E.,"python, literature review, statistics, data collection, analysis","education, ai",remote,31586,Mumbai,,19.076,72.8777,3,mentor,2025-09-07T18:50:32.631174+00:00,2025-09-19T18:50:32.631174+00:00
int_noida_00088,Internship - Healthcare Data Intern (Healthtech),healthcare data intern,healthtech,M.Tech,"python, sql, biostatistics, healthcare analytics, data privacy","healthcare, strategy, media, finance",hybrid,28428,Noida,,28.5355,77.391,4,"mentor, stipend, certificate",2025-08-30T15:16:49.631174+00:00,2025-09-05T15:16:49.631174+00:00
int_chandigarh_00089,Internship - Operations Intern (Agritech),operations intern,agritech,BA,"excel, reporting, coordination, process improvement, communication","consulting, strategy, data, healthcare",onsite,16365,Chandigarh,,30.7333,76.7794,3,"mentor, certificate",2025-07-21T00:01:14.631174+00:00,2025-07-28T00:01:14.631174+00:00
int_bangalore_00090,Industrial Intern Opportunity in Manufacturing,industrial intern,manufacturing,B.Com,"industrial engineering, process design, optimization, data analysis, project management","tech, social",onsite,41337,Bangalore,,12.9716,77.5946,4,stipend,2025-09-13T05:19:52.631174+00:00,2025-09-16T05:19:52.631174+00:00
int_pune_00091,Data Analyst Intern - Agritech,data analyst intern,agritech,BBA,"python, pandas, sql, excel, power bi","hospitality, banking, data, automotive",onsite,18552,Pune,,18.5204,73.8567,4,"mentor, stipend, certificate",2025-05-10T09:00:39.631174+00:00,2025-05-12T09:00:39.631174+00:00
int_bangalore_00092,Quality Intern at Manufacturing Company,quality intern,manufacturing,B.E.,"quality control, six sigma, process improvement, data analysis, documentation","analytics, media, education, hospitality",remote,26113,Bangalore,,12.9716,77.5946,3,"mentor, certificate",2025-07-10T02:45:53.631174+00:00,2025-07-21T02:45:53.631174+00:00
int_hyderabad_00093,Business Analyst Intern - Govtech,business analyst intern,govtech,MBA,"sql, stakeholder management, powerbi, requirements gathering, documentation","data, tech",onsite,23989,Hyderabad,,17.385,78.4867,3,stipend,2025-05-09T21:52:39.631174+00:00,2025-05-15T21:52:39.631174+00:00
int_hyderabad_00094,E-Commerce Marketing Intern,marketing intern,e-commerce,B.Tech,"communication, market research, social media marketing, ms excel, writing","retail, banking, social, fmcg",remote,23088,Hyderabad,,17.385,78.4867,3,"mentor, stipend, certificate",2025-09-09T19:27:49.631174+00:00,2025-09-22T19:27:49.631174+00:00
int_hyderabad_00095,Customer Service Intern Opportunity in Hospitality,customer service intern,hospitality,PhD,"customer service, communication, problem solving, crm, patience","healthcare, data",onsite,17886,Hyderabad,,17.385,78.4867,4,"mentor, stipend, certificate",2025-07-13T00:00:51.631174+00:00,2025-07-13T00:00:51.631174+00:00
